,loss,acc,val_loss,val_acc
0,1.0511192083358765,0.5756835341453552,1.041311264038086,0.5769230723381042
1,1.0285226106643677,0.5855445861816406,1.0090066194534302,0.6020261645317078
2,1.0153378248214722,0.594912588596344,1.001096487045288,0.6031020283699036
3,1.0047633647918701,0.5994397401809692,1.003300666809082,0.596377968788147
4,0.9934961795806885,0.6038771867752075,0.9889801144599915,0.6060606241226196
5,0.9848443865776062,0.6055804491043091,0.9848916530609131,0.6090191602706909
6,0.9791629314422607,0.609973132610321,0.9837226271629333,0.6078537106513977
7,0.9760410189628601,0.6120797991752625,0.9866025447845459,0.6057019829750061
8,0.967229425907135,0.6148588061332703,0.9799248576164246,0.6084812879562378
9,0.9626633524894714,0.6176602244377136,0.9777147173881531,0.6082122921943665
10,0.9603275060653687,0.6156432032585144,0.9758873581886292,0.6102743148803711
11,0.9586378931999207,0.6186463236808777,0.9778342843055725,0.6089295148849487
12,0.9532338976860046,0.6214253902435303,0.9780508279800415,0.6064192056655884
13,0.9501042366027832,0.6231510639190674,0.9739295244216919,0.609646737575531
14,0.9471336007118225,0.6218512058258057,0.970843493938446,0.6098260879516602
15,0.9438982009887695,0.624159574508667,0.9718214273452759,0.6088398694992065
16,0.9423617124557495,0.6257956027984619,0.9702841639518738,0.6124260425567627
17,0.9400825500488281,0.6259300708770752,0.9697911143302917,0.6089295148849487
18,0.9378277063369751,0.6266248226165771,0.9657163619995117,0.6126949787139893
19,0.9354852437973022,0.6282384395599365,0.9682652354240417,0.610812246799469
